SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,genre_larger
Let It BeJennifer Hudson Featuring The Roots,Jennifer Hudson Featuring The Roots,Let It Be,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",,,,,,,,,,,,,,,,,,,dance pop,pop
HighBig Sean Featuring Wiz Khalifa,Big Sean Featuring Wiz Khalifa,High,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",5VKsvhjnjQ3IAspPjGiNPf,,Finally Famous (Deluxe),True,260453.0,49.0,0.517,0.65,11.0,-4.896,0.0,0.296,0.0498,0.0,0.779,0.418,131.401,5.0,pop rap,rap
Far AwayTyga Featuring Chris Richardson,Tyga Featuring Chris Richardson,Far Away,"['pop rap', 'rap', 'trap']",6Kbu55LHFZHjF2nRXVWOrd,,Careless World: Rise Of The Last King,True,206520.0,43.0,0.479,0.692,8.0,-6.021,1.0,0.13,0.304,0.0,0.157,0.557,184.005,4.0,pop rap,rap
Hungry Like The Wolf / RioGlee Cast,Glee Cast,Hungry Like The Wolf / Rio,"['glee club', 'hollywood', 'post-teen pop']",0xNg5LKX5wHkJOI28enmBv,https://p.scdn.co/mp3-preview/575762885ac20dbb2d26475ac90014f55c187c77?cid=b8d3901151d34489a160e3cf0ab1fa94,Hungry Like The Wolf / Rio (Glee Cast Version),False,183386.0,41.0,0.606,0.815,6.0,-4.773,0.0,0.045,0.00136,0.0,0.378,0.57,133.995,4.0,post-teen pop,pop
Lemme SeeUsher Featuring Rick Ross,Usher Featuring Rick Ross,Lemme See,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",4MevEW6tsWrpmzPKaqK0Uw,https://p.scdn.co/mp3-preview/6ad3d814bcc132879ea2d4a179632593a595a842?cid=b8d3901151d34489a160e3cf0ab1fa94,Looking 4 Myself (Expanded Edition),False,252826.0,58.0,0.656,0.725,1.0,-4.067,1.0,0.0596,0.0262,0.0,0.0712,0.403,153.873,4.0,dance pop,pop
If I Didn't Have YouThompson Square,Thompson Square,If I Didn't Have You,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'modern country rock']",6PQ0WLZnT479J7Q1TGIb3n,https://p.scdn.co/mp3-preview/ccbc926d47012b087296b31e96086e13007f611d?cid=b8d3901151d34489a160e3cf0ab1fa94,Just Feels Good,False,202906.0,50.0,0.549,0.805,6.0,-3.431,1.0,0.0277,0.0628,5.26e-06,0.343,0.53,147.91,4.0,country,country
I Luh Ya PapiJennifer Lopez Featuring French Montana,Jennifer Lopez Featuring French Montana,I Luh Ya Papi,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",0fjqx2nfpWXdbrbnxDDgPT,,A.K.A. (Deluxe),True,207133.0,49.0,0.731,0.74,8.0,-6.307,1.0,0.448,0.449,0.0,0.13,0.589,96.015,4.0,dance pop,pop
HeavenJake Worthington,Jake Worthington,Heaven,['deep talent show'],7rSQKuJcahmTznIzb709SB,,The Complete Season 6 Collection (The Voice Performance),False,234888.0,21.0,0.435,0.55,10.0,-4.471,1.0,0.032,0.781,0.0,0.156,0.386,135.826,4.0,deep talent show,deep talent show
ErrrbodyYo Gotti,Yo Gotti,Errrbody,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",3ndumr5hw721OmT5opZ5Zl,https://p.scdn.co/mp3-preview/ba6cac5e0e05b1fb993d68d71dade468d793e795?cid=b8d3901151d34489a160e3cf0ab1fa94,Errrbody,True,261133.0,51.0,0.875,0.531,2.0,-6.046,1.0,0.0585,0.221,0.0,0.0498,0.22,103.965,4.0,pop rap,rap
GoodbyeWho Is Fancy,Who Is Fancy,Goodbye,[],6K5xY7EabiBLjd2HuBQIak,,Goodbye,False,206213.0,54.0,0.712,0.694,5.0,-6.621,1.0,0.0479,0.05,0.000377,0.0904,0.643,114.975,4.0,,
ImagineSawyer Fredericks,Sawyer Fredericks,Imagine,"['folk-pop', 'ny roots']",5fKbkAwQqPNF7Us0UUFNJK,,The Complete Season 8 Collection (The Voice Performance),False,191320.0,25.0,0.308,0.355,10.0,-8.226,1.0,0.0274,0.768,0.0,0.0875,0.172,84.046,4.0,folk-pop,pop
My WayFetty Wap Featuring Monty,Fetty Wap Featuring Monty,My Way,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",1WoOzgvz6CgH4pX6a1RKGp,https://p.scdn.co/mp3-preview/029446a637861ff9129404e2d8059ce5a4079dfe?cid=b8d3901151d34489a160e3cf0ab1fa94,Fetty Wap (Deluxe),True,213053.0,68.0,0.748,0.741,6.0,-3.103,1.0,0.0531,0.00419,0.0,0.147,0.537,128.077,4.0,pop rap,rap
Girls Just Want To Have FunMadi Davis,Madi Davis,Girls Just Want To Have Fun,[],62gFelpaDV9TPR4AybUfjK,https://p.scdn.co/mp3-preview/93a36c7c4e8bb608a27d39650fd3f328e1ec2810?cid=b8d3901151d34489a160e3cf0ab1fa94,Madi Anne Davis,False,170573.0,17.0,0.507,0.223,2.0,-6.772,0.0,0.0361,0.924,0.0,0.223,0.392,130.352,3.0,,
I'll Be AroundDaryl Hall John Oates,Daryl Hall John Oates,I'll Be Around,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",78LHQroYp0bq3PZD4f4bpw,https://p.scdn.co/mp3-preview/67bc4bf201cd40f11c6cca323e40c9728cae46c3?cid=b8d3901151d34489a160e3cf0ab1fa94,Our Kind of Soul,False,242211.0,39.0,0.869,0.756,7.0,-5.045,0.0,0.0284,0.289,2.99e-05,0.12,0.896,114.958,4.0,rock,rock
Must Be NiceLyfe Jennings,Lyfe Jennings,Must Be Nice,"['deep pop r&b', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",2mp3sLUNQaJ025Lx5f4AAJ,https://p.scdn.co/mp3-preview/83e7d03416c31a40320ee7fddcc9b29a15da8e0a?cid=b8d3901151d34489a160e3cf0ab1fa94,Lyfe 268-192,False,233440.0,57.0,0.446,0.401,1.0,-11.232,1.0,0.382,0.657,0.0,0.127,0.647,82.942,4.0,r&b,r&b
KeroseneMiranda Lambert,Miranda Lambert,Kerosene,"['contemporary country', 'country', 'country dawn', 'country road']",2yhhcHTfvLC0HzSajGYL0h,https://p.scdn.co/mp3-preview/4f2921e31e95ec19917b84835cdd1afe79120118?cid=b8d3901151d34489a160e3cf0ab1fa94,Kerosene,False,185800.0,58.0,0.628,0.92,7.0,-3.252,1.0,0.0287,0.00687,5.34e-05,0.337,0.808,126.998,4.0,country,country
