Song,Performer,SongID,Year,Peak Position,Artist_Name
Invisible,Hunter Hayes,InvisibleHunter Hayes,2014,44.0,Alison Moyet
Give It 2 Me,Madonna,Give It 2 MeMadonna,2008,57.0,Madonna
If I Never See Your Face Again,Maroon 5 Featuring Rihanna,If I Never See Your Face AgainMaroon 5 Featuring Rihanna,2008,51.0,Maroon 5
Let's Get Crazy,Hannah Montana,Let's Get CrazyHannah Montana,2009,57.0,Hannah Montana
Gangsta Luv,Snoop Dogg Featuring The-Dream,Gangsta LuvSnoop Dogg Featuring The-Dream,2009,35.0,Snoop Dogg
Gangsta Luv,Snoop Dogg Featuring The-Dream,Gangsta LuvSnoop Dogg Featuring The-Dream,2010,35.0,Snoop Dogg
Hero,Christopher Wilde,HeroChristopher Wilde,2010,57.0,Christopher Wilde
Hero,Christopher Wilde,HeroChristopher Wilde,2010,57.0,Nas
Hero,Christopher Wilde,HeroChristopher Wilde,2010,57.0,Chad Kroeger
Hero,Christopher Wilde,HeroChristopher Wilde,2010,57.0,Mariah Carey
Hero,Christopher Wilde,HeroChristopher Wilde,2010,57.0,Enrique Iglesias
Hero,Christopher Wilde,HeroChristopher Wilde,2010,57.0,David Crosby
Hero,Chad Kroeger Featuring Josey Scott,HeroChad Kroeger Featuring Josey Scott,2002,3.0,Christopher Wilde
Hero,Chad Kroeger Featuring Josey Scott,HeroChad Kroeger Featuring Josey Scott,2002,3.0,Nas
Hero,Chad Kroeger Featuring Josey Scott,HeroChad Kroeger Featuring Josey Scott,2002,3.0,Chad Kroeger
Hero,Chad Kroeger Featuring Josey Scott,HeroChad Kroeger Featuring Josey Scott,2002,3.0,Mariah Carey
Hero,Chad Kroeger Featuring Josey Scott,HeroChad Kroeger Featuring Josey Scott,2002,3.0,Enrique Iglesias
Hero,Chad Kroeger Featuring Josey Scott,HeroChad Kroeger Featuring Josey Scott,2002,3.0,David Crosby
Hero,Enrique Iglesias,HeroEnrique Iglesias,2001,3.0,Christopher Wilde
Hero,Enrique Iglesias,HeroEnrique Iglesias,2001,3.0,Nas
Hero,Enrique Iglesias,HeroEnrique Iglesias,2001,3.0,Chad Kroeger
Hero,Enrique Iglesias,HeroEnrique Iglesias,2001,3.0,Mariah Carey
Hero,Enrique Iglesias,HeroEnrique Iglesias,2001,3.0,Enrique Iglesias
Hero,Enrique Iglesias,HeroEnrique Iglesias,2001,3.0,David Crosby
Hero,Enrique Iglesias,HeroEnrique Iglesias,2002,3.0,Christopher Wilde
Hero,Enrique Iglesias,HeroEnrique Iglesias,2002,3.0,Nas
Hero,Enrique Iglesias,HeroEnrique Iglesias,2002,3.0,Chad Kroeger
Hero,Enrique Iglesias,HeroEnrique Iglesias,2002,3.0,Mariah Carey
Hero,Enrique Iglesias,HeroEnrique Iglesias,2002,3.0,Enrique Iglesias
Hero,Enrique Iglesias,HeroEnrique Iglesias,2002,3.0,David Crosby
Hero,Nas Featuring Keri Hilson,HeroNas Featuring Keri Hilson,2008,97.0,Christopher Wilde
Hero,Nas Featuring Keri Hilson,HeroNas Featuring Keri Hilson,2008,97.0,Nas
Hero,Nas Featuring Keri Hilson,HeroNas Featuring Keri Hilson,2008,97.0,Chad Kroeger
Hero,Nas Featuring Keri Hilson,HeroNas Featuring Keri Hilson,2008,97.0,Mariah Carey
Hero,Nas Featuring Keri Hilson,HeroNas Featuring Keri Hilson,2008,97.0,Enrique Iglesias
Hero,Nas Featuring Keri Hilson,HeroNas Featuring Keri Hilson,2008,97.0,David Crosby
Firework,Katy Perry,FireworkKaty Perry,2010,1.0,Glee Cast
Firework,Katy Perry,FireworkKaty Perry,2010,1.0,Katy Perry
Firework,Katy Perry,FireworkKaty Perry,2011,1.0,Glee Cast
Firework,Katy Perry,FireworkKaty Perry,2011,1.0,Katy Perry
Firework,Glee Cast,FireworkGlee Cast,2011,34.0,Glee Cast
Firework,Glee Cast,FireworkGlee Cast,2011,34.0,Katy Perry
John,Lil Wayne Featuring Rick Ross,JohnLil Wayne Featuring Rick Ross,2011,22.0,Lil Wayne
I Won't Back Down,Blake Shelton & Dia Frampton,I Won't Back DownBlake Shelton & Dia Frampton,2011,57.0,Blake Shelton
I Won't Back Down,Blake Shelton & Dia Frampton,I Won't Back DownBlake Shelton & Dia Frampton,2011,57.0,Tom Petty
Love And War,Tamar Braxton,Love And WarTamar Braxton,2012,57.0,Tamar Braxton
Love And War,Tamar Braxton,Love And WarTamar Braxton,2013,57.0,Tamar Braxton
I'm Comin' Over,Chris Young,I'm Comin' OverChris Young,2015,33.0,Chris Young
I Just Wanna Love U (Give It 2 Me),JAY-Z,I Just Wanna Love U (Give It 2 Me)JAY-Z,2000,11.0,Jay-Z
I Just Wanna Love U (Give It 2 Me),JAY-Z,I Just Wanna Love U (Give It 2 Me)JAY-Z,2001,11.0,Jay-Z
Jaded,Aerosmith,JadedAerosmith,2001,7.0,Aerosmith
Family Portrait,P!nk,Family PortraitP!nk,2002,20.0,P!nk
Family Portrait,P!nk,Family PortraitP!nk,2003,20.0,P!nk
Made You Look,Nas,Made You LookNas,2002,32.0,Nas
Made You Look,Nas,Made You LookNas,2003,32.0,Nas
I Can't Wait,Sleepy Brown Featuring OutKast,I Can't WaitSleepy Brown Featuring OutKast,2004,40.0,Sleepy Brown
I Can't Wait,Sleepy Brown Featuring OutKast,I Can't WaitSleepy Brown Featuring OutKast,2004,40.0,Deniece Williams
I Can't Wait,Sleepy Brown Featuring OutKast,I Can't WaitSleepy Brown Featuring OutKast,2004,40.0,Nu Shooz
I Can't Wait,Sleepy Brown Featuring OutKast,I Can't WaitSleepy Brown Featuring OutKast,2004,40.0,Stevie Nicks
Have A Nice Day,Bon Jovi,Have A Nice DayBon Jovi,2005,53.0,Bon Jovi
Have A Nice Day,Bon Jovi,Have A Nice DayBon Jovi,2006,53.0,Bon Jovi
Give It Up To Me,Shakira Featuring Lil Wayne,Give It Up To MeShakira Featuring Lil Wayne,2009,29.0,Shakira
Give It Up To Me,Shakira Featuring Lil Wayne,Give It Up To MeShakira Featuring Lil Wayne,2009,29.0,Sean Paul
Give It Up To Me,Shakira Featuring Lil Wayne,Give It Up To MeShakira Featuring Lil Wayne,2010,29.0,Shakira
Give It Up To Me,Shakira Featuring Lil Wayne,Give It Up To MeShakira Featuring Lil Wayne,2010,29.0,Sean Paul
For Good,Glee Cast,For GoodGlee Cast,2011,58.0,Glee Cast
Fall Down,will.i.am Featuring Miley Cyrus,Fall Downwill.i.am Featuring Miley Cyrus,2013,58.0,will.i.am
Fall Down,will.i.am Featuring Miley Cyrus,Fall Downwill.i.am Featuring Miley Cyrus,2013,58.0,Toad The Wet Sprocket
Gas Pedal,Sage The Gemini Featuring IamSu!,Gas PedalSage The Gemini Featuring IamSu!,2013,29.0,Sage The Gemini
Gas Pedal,Sage The Gemini Featuring IamSu!,Gas PedalSage The Gemini Featuring IamSu!,2014,29.0,Sage The Gemini
Empire,Shakira,EmpireShakira,2014,58.0,Shakira
No Mediocre,T.I. Featuring Iggy Azalea,No MediocreT.I. Featuring Iggy Azalea,2014,33.0,T.I.
Love Lockdown,Kanye West,Love LockdownKanye West,2008,3.0,Kanye West
Love Lockdown,Kanye West,Love LockdownKanye West,2009,3.0,Kanye West
Mine,Taylor Swift,MineTaylor Swift,2010,3.0,Beyonce
Mine,Taylor Swift,MineTaylor Swift,2010,3.0,Taylor Swift
Mine,Taylor Swift,MineTaylor Swift,2011,3.0,Beyonce
Mine,Taylor Swift,MineTaylor Swift,2011,3.0,Taylor Swift
Mine,Beyonce Featuring Drake,MineBeyonce Featuring Drake,2014,82.0,Beyonce
Mine,Beyonce Featuring Drake,MineBeyonce Featuring Drake,2014,82.0,Taylor Swift
Live While We're Young,One Direction,Live While We're YoungOne Direction,2012,3.0,One Direction
Live While We're Young,One Direction,Live While We're YoungOne Direction,2013,3.0,One Direction
I Knew You Were Trouble.,Taylor Swift,I Knew You Were Trouble.Taylor Swift,2012,2.0,Taylor Swift
I Knew You Were Trouble.,Taylor Swift,I Knew You Were Trouble.Taylor Swift,2013,2.0,Taylor Swift
God Bless The U.S.A.,American Idol Finalists,God Bless The U.S.A.American Idol Finalists,2003,4.0,American Idol Finalists
Heartless,Kanye West,HeartlessKanye West,2008,2.0,Dia Frampton
Heartless,Kanye West,HeartlessKanye West,2008,2.0,Kris Allen
Heartless,Kanye West,HeartlessKanye West,2008,2.0,The Fray
Heartless,Kanye West,HeartlessKanye West,2008,2.0,Kanye West
Heartless,Kanye West,HeartlessKanye West,2008,2.0,Heart
Heartless,Kanye West,HeartlessKanye West,2009,2.0,Dia Frampton
Heartless,Kanye West,HeartlessKanye West,2009,2.0,Kris Allen
Heartless,Kanye West,HeartlessKanye West,2009,2.0,The Fray
Heartless,Kanye West,HeartlessKanye West,2009,2.0,Kanye West
Heartless,Kanye West,HeartlessKanye West,2009,2.0,Heart
Heartless,Dia Frampton,HeartlessDia Frampton,2011,57.0,Dia Frampton
Heartless,Dia Frampton,HeartlessDia Frampton,2011,57.0,Kris Allen
Heartless,Dia Frampton,HeartlessDia Frampton,2011,57.0,The Fray
Heartless,Dia Frampton,HeartlessDia Frampton,2011,57.0,Kanye West
Heartless,Dia Frampton,HeartlessDia Frampton,2011,57.0,Heart
Heartless,Kris Allen,HeartlessKris Allen,2009,16.0,Dia Frampton
Heartless,Kris Allen,HeartlessKris Allen,2009,16.0,Kris Allen
Heartless,Kris Allen,HeartlessKris Allen,2009,16.0,The Fray
Heartless,Kris Allen,HeartlessKris Allen,2009,16.0,Kanye West
Heartless,Kris Allen,HeartlessKris Allen,2009,16.0,Heart
Heartless,The Fray,HeartlessThe Fray,2009,79.0,Dia Frampton
Heartless,The Fray,HeartlessThe Fray,2009,79.0,Kris Allen
Heartless,The Fray,HeartlessThe Fray,2009,79.0,The Fray
Heartless,The Fray,HeartlessThe Fray,2009,79.0,Kanye West
Heartless,The Fray,HeartlessThe Fray,2009,79.0,Heart
Girlfriend,Avril Lavigne,GirlfriendAvril Lavigne,2007,1.0,Bow Wow
Girlfriend,Avril Lavigne,GirlfriendAvril Lavigne,2007,1.0,Avril Lavigne
Girlfriend,Avril Lavigne,GirlfriendAvril Lavigne,2007,1.0,B2K
Girlfriend,Avril Lavigne,GirlfriendAvril Lavigne,2007,1.0,NSync
Girlfriend,Avril Lavigne,GirlfriendAvril Lavigne,2007,1.0,Pebbles
Girlfriend,Avril Lavigne,GirlfriendAvril Lavigne,2007,1.0,Bobby Brown
Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,2002,5.0,Bow Wow
Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,2002,5.0,Avril Lavigne
Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,2002,5.0,B2K
Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,2002,5.0,NSync
Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,2002,5.0,Pebbles
Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,2002,5.0,Bobby Brown
Girlfriend,B2K,GirlfriendB2K,2003,30.0,Bow Wow
Girlfriend,B2K,GirlfriendB2K,2003,30.0,Avril Lavigne
Girlfriend,B2K,GirlfriendB2K,2003,30.0,B2K
Girlfriend,B2K,GirlfriendB2K,2003,30.0,NSync
Girlfriend,B2K,GirlfriendB2K,2003,30.0,Pebbles
Girlfriend,B2K,GirlfriendB2K,2003,30.0,Bobby Brown
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2007,33.0,Bow Wow
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2007,33.0,Avril Lavigne
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2007,33.0,B2K
Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,2007,33.0,NSync
